meanTemp,TotPrecip,TotSnow,Max24hrPrecip,Max24hrSnow
63.5,3.42,0,1.22,0
54.4,2.62,0,1.13,0
46.8,4.43,0,1.58,0
34.2,3.03,9.9,0.85,4
35.1,2.28,0.5,1.04,0.5
26.4,4.05,23.5,1.35,9.4
33.1,4.67,22.9,1.91,9.9
44.9,4.83,3.3,0.79,2.6
51.6,7.32,0,2.63,0
67.2,3.48,0,1.43,0
72.9,2.47,0,1.03,0
70.8,5.74,0,2.6,0
62.7,2,0,1.48,0
53.7,0.96,0,0.25,0
40.1,3.38,2.2,0.74,2.2
34.9,6.42,14.7,1.7,6
25.5,3.85,17.7,1.17,6.6
26,1.15,3.4,0.43,1.9
39.1,7.86,6.8,3.49,3.2
49.6,1.72,0,0.87,0
56.1,3.26,0,1.13,0
64.8,5.65,0,1.29,0
75.2,0.55,0,0.3,0
70.7,1.63,0,0.74,0
64.9,1.79,0,0.77,0
57.9,1.85,0,1.04,0
43.8,6.74,0.4,1.77,0.4
30.9,6.23,5.1,2.15,1.6
29.3,2.26,0.9,0.76,0.7
29.4,7.08,41.3,2.42,13.7
35.4,2.63,6.1,1.05,5.1
50.6,4.37,0,1.42,0
58.5,1.96,0,1.23,0
69.3,0.63,0,0.25,0
71,2.98,0,0.82,0
74.3,1.89,0,0.49,0
63.7,4.42,0,2.19,0
54.3,1.64,0,0.79,0
44.9,8.18,0,1.77,0
33.4,9.74,12.6,3.51,4.1
23,0.89,9.2,0.25,2.2
32.3,4.65,10.5,1.27,5.2
37.4,4.32,18.2,0.74,7.3
49,2.79,0.1,1.83,0.1
59.6,3.01,0,1.22,0
67,4.62,0,1.65,0
74.2,1.27,0,0.66,0
73.6,4.12,0,1.55,0
65.6,2.6,0,0.64,0
54.9,2.63,0,1.62,0
44.8,4.09,0,0.96,0
28.9,6.92,27.9,2.82,6.9
23.7,1.88,12,0.44,4.9
30.4,5.05,8.1,1.3,2.7
36.7,3.08,7.4,0.96,4
45.1,2.92,1.9,1.12,1.6
55.7,3.72,0,1.05,0
69.1,1.74,0,0.56,0
